Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	51	78.46153846	4.65E-45	"FGF5, IGHG3, IGHG4, VTN, TNFSF12, IL10, FLT3LG, APOA4, AZGP1, APOD, GSN, SERPINA6, KLK11, IL15RA, CFI, FGF21, TNFRSF9, CST5, CSTB, NPPB, CTSD, TF, CCL3, CXCL9, CXCL8, APOC2, KITLG, CX3CL1, CCL28, CCL4, CCL7, AHSG, FGG, CCL23, FGA, ALB, LRG1, APOC3, IGHA2, PLAT, IL6, CFB, CHI3L1, CCL19, GH1, FBLN1, AFM, APOL1, CP, GDF15, SELE"	64	1347	18224	10.7811804	4.55E-43	4.55E-43	5.14E-42
GOTERM_CC_DIRECT	GO:0005576~extracellular region	52	80	7.88E-43	"FGF5, IGHG3, IGHG4, VTN, TNFSF12, IL10, FLT3LG, APOA4, AZGP1, APOA2, APOD, GSN, CFI, SHBG, FGF21, C1QB, CST5, CTSD, NPPB, TF, CCL3, CXCL9, CXCL8, KITLG, APOC2, ESM1, CX3CL1, CCL4, CCL28, CCL7, AHSG, FGG, CCL23, FGA, FCN3, ALB, LRG1, APOC3, IGHA2, PRAP1, PLAT, IL6, CFB, CCL19, AGER, S100A12, GH1, FBLN1, AFM, APOL1, CP, GDF15"	64	1610	18224	9.19689441	7.73E-41	3.86E-41	8.72E-40
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	18	27.69230769	1.31E-21	"TF, IGHG3, IGHG4, CFB, VTN, AHSG, APOA4, C1QB, AFM, FGG, APOA2, APOL1, FGA, ALB, GSN, FCN3, IGHA2, CP"	64	152	18224	33.72039474	1.28E-19	4.28E-20	1.45E-18
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	17	26.15384615	6.58E-14	"CCL3, IL6, CXCL9, CXCL8, CCL19, TNFSF12, CX3CL1, CCL28, CCL4, IL10, CCL7, GH1, TNFRSF9, CCL23, TNFRSF10B, IL10RB, IL15RA"	40	243	6879	12.03117284	4.93E-12	4.93E-12	6.90E-11
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	17	26.15384615	3.52E-13	"ABCF1, CCL3, IL6, CXCL9, CHI3L1, CXCL8, CCL19, AGER, CCL4, IL10, CCL7, S100A12, TNFRSF9, CCL23, TNFRSF10B, IL10RB, SELE"	63	379	16792	11.95560581	2.25E-10	2.25E-10	5.24E-10
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	35	53.84615385	1.54E-12	"TF, IGHG3, IGHG4, APOC2, VTN, CCL28, AHSG, APOA4, AZGP1, APOA2, FGG, APOD, FGA, IL10RB, LRG1, SERPINA6, GSN, ALB, APOC3, KLK11, IGHA2, CFI, PLAT, SHBG, CFB, CHI3L1, XPNPEP2, C1QB, FBLN1, AFM, CST5, CSTB, CTSD, CP, GDF15"	64	2811	18224	3.54544646	1.51E-10	3.77E-11	1.70E-09
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	9	13.84615385	1.08E-11	"CCL3, CCL23, CXCL9, CXCL8, CCL19, CX3CL1, CCL4, CCL28, CCL7"	65	49	16881	47.70141287	1.52E-09	1.52E-09	1.28E-08
GOTERM_BP_DIRECT	GO:0006955~immune response	16	24.61538462	2.41E-11	"CCL3, IL6, CXCL9, CXCL8, CCL19, VTN, TNFSF12, CX3CL1, CCL28, CCL4, IL10, TNFRSF9, CCL23, TNFRSF10B, IL10RB, IGHA2"	63	421	16792	10.12977416	1.54E-08	7.72E-09	3.59E-08
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	8	12.30769231	1.61E-10	"IL6, CCL3, CCL23, CCL19, CX3CL1, CCL4, CCL7, S100A12"	63	42	16792	50.76946334	1.03E-07	3.44E-08	2.40E-07
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	9	13.84615385	1.92E-10	"IL6, CCL3, CCL23, CHI3L1, CXCL8, CCL19, CX3CL1, CCL4, CCL7"	63	71	16792	33.78672032	1.23E-07	3.07E-08	2.86E-07
