Annotation Cluster 1	Enrichment Score: 5.659822548751929											
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	17	26.15384615	6.58E-14	"CCL3, IL6, CXCL9, CXCL8, CCL19, TNFSF12, CX3CL1, CCL28, CCL4, IL10, CCL7, GH1, TNFRSF9, CCL23, TNFRSF10B, IL10RB, IL15RA"	40	243	6879	12.03117284	4.93E-12	4.93E-12	6.90E-11
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	17	26.15384615	3.52E-13	"ABCF1, CCL3, IL6, CXCL9, CHI3L1, CXCL8, CCL19, AGER, CCL4, IL10, CCL7, S100A12, TNFRSF9, CCL23, TNFRSF10B, IL10RB, SELE"	63	379	16792	11.95560581	2.25E-10	2.25E-10	5.24E-10
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	9	13.84615385	1.08E-11	"CCL3, CCL23, CXCL9, CXCL8, CCL19, CX3CL1, CCL4, CCL28, CCL7"	65	49	16881	47.70141287	1.52E-09	1.52E-09	1.28E-08
GOTERM_BP_DIRECT	GO:0006955~immune response	16	24.61538462	2.41E-11	"CCL3, IL6, CXCL9, CXCL8, CCL19, VTN, TNFSF12, CX3CL1, CCL28, CCL4, IL10, TNFRSF9, CCL23, TNFRSF10B, IL10RB, IGHA2"	63	421	16792	10.12977416	1.54E-08	7.72E-09	3.59E-08
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	8	12.30769231	1.61E-10	"IL6, CCL3, CCL23, CCL19, CX3CL1, CCL4, CCL7, S100A12"	63	42	16792	50.76946334	1.03E-07	3.44E-08	2.40E-07
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	9	13.84615385	1.92E-10	"IL6, CCL3, CCL23, CHI3L1, CXCL8, CCL19, CX3CL1, CCL4, CCL7"	63	71	16792	33.78672032	1.23E-07	3.07E-08	2.86E-07
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	11	16.92307692	7.86E-10	"FGG, IL6, CCL3, CCL23, FGA, CHI3L1, CCL19, CX3CL1, FGF21, CCL4, CCL7"	63	175	16792	16.7539229	5.04E-07	1.01E-07	1.17E-06
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	9	13.84615385	6.61E-09	"IL6, CCL3, CCL23, CHI3L1, CXCL8, CCL19, CX3CL1, CCL4, CCL7"	63	110	16792	21.80779221	4.23E-06	7.06E-07	9.85E-06
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	8	12.30769231	7.30E-09	"CCL3, CCL23, CXCL9, CXCL8, CCL19, CX3CL1, CCL4, CCL7"	63	71	16792	30.03264029	4.68E-06	6.68E-07	1.09E-05
REACTOME_PATHWAY	R-HSA-380108:R-HSA-380108	8	12.30769231	2.04E-08	"CCL3, CXCL9, CXCL8, CCL19, CX3CL1, CCL4, CCL28, CCL7"	49	59	9075	25.11241785	2.10E-06	2.10E-06	2.27E-05
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	7	10.76923077	1.51E-07	"CCL3, CCL23, CXCL8, CX3CL1, CCL4, CCL7, S100A12"	63	66	16792	28.26936027	9.69E-05	1.21E-05	2.25E-04
GOTERM_MF_DIRECT	GO:0031726~CCR1 chemokine receptor binding	4	6.153846154	1.80E-06	"CCL3, CCL23, CCL4, CCL7"	65	7	16881	148.4043956	2.52E-04	1.26E-04	0.002123195
