	logFC	AveExpr	t	P.Value	adj.P.Val	B	
miR-122	-0.330986504994898	1.5532240140444264	-1.960388051695311	0.05036529280473023	0.7159944478857441	-4.086581030389961	
miR-150	-0.17650265211398072	1.056072566453345	-1.8476781990594595	0.06509040435324946	0.7159944478857441	-4.171357127006354	
miR-320	0.17247930673494297	-0.017943483103509388	1.550597703444052	0.12147129049390641	0.8907894636219803	-4.371106509946998	
miR-191	-0.2135327346789464	1.4283622804508533	-1.2860137697726617	0.19888341185719238	0.9399210899814807	-4.519915386344709	
miR-223	-0.1330946720948121	1.0304167408468208	-1.089639652287093	0.2762644556201742	0.9399210899814807	-4.612548152659932	
miR-126	-0.13305052872764353	0.644579379166848	-1.0421990022401164	0.29769609863168134	0.9399210899814807	-4.632643573641959	
miR-335	0.14651247699048267	0.0037214369168534476	0.984232027337702	0.3253574464770783	0.9399210899814807	-4.6559898806601545	
U6...14	0.16612022981532973	-2.1209041551379806	0.8622493315507517	0.3888594643746406	0.9399210899814807	-4.700774304072659	
miR-92a	0.08809476063649262	0.8229514749774357	0.8520050238345006	0.39451635788278006	0.9399210899814807	-4.7042670573107825	
miR-21	0.08060648121685667	-0.14466261379824996	0.741083139415245	0.45890321478314267	0.9399210899814807	-4.739420517007723	
miR-148a	0.10084290551305412	0.6999518114848714	0.7229546585043415	0.46996054499074036	0.9399210899814807	-4.744701690008502	
miR-27b	0.08374319922073638	0.035893044395625434	0.6125852845485638	0.540358868194968	0.9526873814948565	-4.7740384807026475	
miR-195	-0.04776265654290353	0.885800658974157	-0.5387324838041371	0.5902507657928884	0.9526873814948565	-4.790965878156736	
miR-223*	-0.070154055259008	1.0666762732380524	-0.4804597311297806	0.6310576836646763	0.9526873814948565	-4.8027915210165295	
miR-126*	0.05893797641692954	0.1853889711617045	0.35918467065751003	0.7195703405965177	0.9526873814948565	-4.823070864208949	
miR-155	-0.035450829553591606	0.036098741255715196	-0.3507270830277543	0.7259035746708289	0.9526873814948565	-4.8242667616987776	
miR-24	-0.04022361459076424	0.869743349131432	-0.3022358266714523	0.7625662834478363	0.9526873814948565	-4.8305736425461046	
miR-378	0.02075478009443934	0.40962672972971076	0.2716768040730767	0.7859543985441503	0.9526873814948565	-4.834067245258002	
miR-146a	0.03188876057815903	-0.13934939505463317	0.22406462300913127	0.822775465836467	0.9526873814948565	-4.838769248962085	
miR-28-3p	0.020501795558028564	0.30757716324699996	0.1454693250495399	0.8843841739139606	0.9535171253456387	-4.844555376142908	
U6...24	0.024312705540276296	-1.8865674560939387	0.11285998253336063	0.9101754378299278	0.9535171253456387	-4.846233686538922	
miR-197	-0.004988997786889467	1.3067324709527774	-0.03817252353973736	0.9695615219365923	0.9695615219365923	-4.848481110088725	
