
Generated at: 2019/05/07 11:56:05
mirDIP version: 4.1.11.1.
Database version: 4.1.0.3


Micro RNAs: hsa-miR-16-5p 
hsa-miR-19b-3p 
hsa-miR-20b-5p 
hsa-miR-21-5p 
hsa-miR-24-3p 
hsa-miR-26a-5p 
hsa-miR-27b-3p 
hsa-miR-28-5p 
hsa-miR-29a-3p 
hsa-miR-30b-5p 
hsa-miR-92a-3p 
hsa-miR-93-5p 
hsa-miR-99b-5p 
hsa-miR-122-5p 
hsa-miR-126-3p 
hsa-miR-126-5p 
hsa-miR-130a-3p 
hsa-miR-140-5p 
hsa-miR-143-3p 
hsa-miR-145-5p 
hsa-miR-150-5p 
hsa-miR-191-5p 
hsa-miR-192-5p 
hsa-miR-197-3p 
hsa-miR-221-3p 
hsa-miR-222-3p 
hsa-miR-223-3p 
hsa-miR-223-5p 
hsa-miR-320a 
hsa-miR-324-5p 
hsa-miR-375 
hsa-miR-486-5p 
hsa-miR-574-3p 
hsa-miR-885-5p 
hsa-let-7b-5p 
hsa-let-7d-5p 
Minimum Score class - Very High


Results (7397)
Gene,Uniprot \ miRNAs,hsa-let-7b-5p,hsa-let-7d-5p,hsa-miR-122-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-130a-3p,hsa-miR-140-5p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-150-5p,hsa-miR-16-5p,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-197-3p,hsa-miR-19b-3p,hsa-miR-20b-5p,hsa-miR-21-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-223-5p,hsa-miR-24-3p,hsa-miR-26a-5p,hsa-miR-27b-3p,hsa-miR-28-5p,hsa-miR-29a-3p,hsa-miR-30b-5p,hsa-miR-320a,hsa-miR-324-5p,hsa-miR-375,hsa-miR-486-5p,hsa-miR-574-3p,hsa-miR-885-5p,hsa-miR-92a-3p,hsa-miR-93-5p,hsa-miR-99b-5p,Shared miRNAs
A1CF,Q9NQ94,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,3
AADAC,P22760,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,3
AADAT,Q8N5Z0,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,3
AAK1,Q2M2I8,Y,Y,Y,,,Y,,Y,,,,,,,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,,Y,,,,Y,,15
AARS,P49588,,,,,,,Y,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,4
AARS2,Q5JTZ9,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
AASDHPPT,Q9NRN7,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,3
AASS,Q9UDR5,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
AATK,Q6ZMQ8,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,2
ABAT,P80404,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,Y,,4
ABCA1,O95477,,,,,,Y,Y,Y,Y,,Y,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,Y,,Y,,11
ABCA12,Q86UK0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,3
ABCA5,Q8WWZ7,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,2
ABCA8,O94911,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,3
ABCB7,O75027,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,2
ABCB9,Q9NP78,Y,Y,,,,,,Y,,Y,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,7
ABCC10,Q5T3U5,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,3
ABCC3,O15438,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,2
ABCC4,O15439,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,3
ABCC5,O15440,Y,Y,Y,,,Y,,,,,Y,,,,,Y,,Y,Y,,,,,,Y,,,,,,,,,,,,9
ABCC9,O60706,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,2
ABCD2,Q9UBJ2,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,Y,,,,,,,,Y,,4
ABCD3,P28288,,,,,,,Y,,,,,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,4
ABCE1,P61221,,,,,,Y,Y,,Y,,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,6
