"","Transcript Id","Gene Id(name)","Mirna Name","miTG score"
"1","ENST00000586178","ENSG00000011258 (MBTD1)","hsa-miR-122-3p",0.97163031065491
"2","ENST00000374786","ENSG00000182667 (NTM)","hsa-miR-122-3p",0.924284375231004
"3","ENST00000306434","ENSG00000168906 (MAT2A)","hsa-miR-122-3p",0.90568320686352
"4","ENST00000325437","ENSG00000103275 (UBE2I)","hsa-miR-122-3p",0.860566667348987
"5","ENST00000371989","ENSG00000148248 (SURF4)","hsa-miR-122-3p",0.836495758227161
"6","ENST00000376403","ENSG00000175170 (FAM182B)","hsa-miR-122-3p",0.831644265804995
"7","ENST00000377075","ENSG00000158158 (CNNM4)","hsa-miR-122-3p",0.828898650205761
"8","ENST00000416613","ENSG00000126777 (KTN1)","hsa-miR-122-3p",0.816335098250033
"9","ENST00000340208","ENSG00000081189 (MEF2C)","hsa-miR-122-3p",0.81286559167053
"10","ENST00000436636","ENSG00000154310 (TNIK)","hsa-miR-122-3p",0.794536449195253
"11","ENST00000239231","ENSG00000120137 (PANK3)","hsa-miR-122-3p",0.788961301948136
"12","ENST00000368309","ENSG00000160803 (UBQLN4)","hsa-miR-122-3p",0.788634602675472
"13","ENST00000265354","ENSG00000112658 (SRF)","hsa-miR-122-3p",0.783163083642638
"14","ENST00000553612","ENSG00000165417 (GTF2A1)","hsa-miR-122-3p",0.777734102525921
"15","ENST00000276326","ENSG00000147364 (FBXO25)","hsa-miR-122-3p",0.776811755019455
"16","ENST00000238961","ENSG00000119906 (FAM178A)","hsa-miR-122-3p",0.775459719810703
"17","ENST00000458572","ENSG00000100353 (EIF3D)","hsa-miR-122-3p",0.76414085293779
"18","ENST00000546386","ENSG00000165972 (CCDC38)","hsa-miR-122-3p",0.755603744028814
"19","ENST00000368679","ENSG00000148848 (ADAM12)","hsa-miR-122-3p",0.749568372185219
"20","ENST00000313737","ENSG00000177340 (AC024940.1)","hsa-miR-122-3p",0.748860254631741
"21","ENST00000292408","ENSG00000160867 (FGFR4)","hsa-miR-122-3p",0.747278752161695
"22","ENST00000311127","ENSG00000173706 (HEG1)","hsa-miR-122-3p",0.736844298547523
"23","ENST00000482061","ENSG00000174928 (C3orf33)","hsa-miR-122-3p",0.734317861676162
"24","ENST00000379380","ENSG00000186687 (LYRM7)","hsa-miR-122-3p",0.728395138755796
"25","ENST00000412285","ENSG00000081377 (CDC14B)","hsa-miR-122-3p",0.723657341379386
"26","ENST00000523629","ENSG00000079102 (RUNX1T1)","hsa-miR-122-3p",0.715042861210844
"27","ENST00000523969","ENSG00000055163 (CYFIP2)","hsa-miR-122-3p",0.709807887322429
"28","ENST00000406462","ENSG00000121957 (GPSM2)","hsa-miR-122-3p",0.709395842506733
"29","ENST00000292782","ENSG00000043093 (DCUN1D1)","hsa-miR-122-3p",0.707278423650053
"30","ENST00000287482","ENSG00000156876 (SASS6)","hsa-miR-122-3p",0.706948879190467
"31","ENST00000528216","ENSG00000148985 (PGAP2)","hsa-miR-122-3p",0.705725355757498
"32","ENST00000335397","ENSG00000186509 (OR9Q1)","hsa-miR-122-3p",0.70220340597349
"33","ENST00000591698","ENSG00000121289 (CEP89)","hsa-miR-122-3p",0.701989695866325
"34","ENST00000376040","ENSG00000135040 (NAA35)","hsa-miR-122-3p",0.701551864199456
"35","ENST00000392401","ENSG00000079931 (MOXD1)","hsa-miR-122-3p",0.701411372833121
"36","ENST00000306390","ENSG00000171236 (LRG1)","hsa-miR-122-3p",0.700449161660715
"37","ENST00000398542","ENSG00000121753 (BAI2)","hsa-miR-122-5p",0.999814211287104
"38","ENST00000525514","ENSG00000118513 (MYB)","hsa-miR-122-5p",0.999708006139819
"39","ENST00000323798","ENSG00000104812 (GYS1)","hsa-miR-122-5p",0.998724090054141
"40","ENST00000530514","ENSG00000141279 (NPEPPS)","hsa-miR-122-5p",0.998367803729574
"41","ENST00000260126","ENSG00000137571 (SLCO5A1)","hsa-miR-122-5p",0.998154784942708
"42","ENST00000325327","ENSG00000176619 (LMNB2)","hsa-miR-122-5p",0.997621571214137
