Mirna Name,Transcript Id,Gene Idname,Gene name,miTG score
hsa-miR-122-3p,ENST00000586178,ENSG00000011258,MBTD1,0.971630311
hsa-miR-122-3p,ENST00000374786,ENSG00000182667,NTM,0.924284375
hsa-miR-122-3p,ENST00000306434,ENSG00000168906,MAT2A,0.905683207
hsa-miR-122-3p,ENST00000325437,ENSG00000103275,UBE2I,0.860566667
hsa-miR-122-3p,ENST00000371989,ENSG00000148248,SURF4,0.836495758
hsa-miR-122-3p,ENST00000376403,ENSG00000175170,FAM182B,0.831644266
hsa-miR-122-3p,ENST00000377075,ENSG00000158158,CNNM4,0.82889865
hsa-miR-122-3p,ENST00000416613,ENSG00000126777,KTN1,0.816335098
hsa-miR-122-3p,ENST00000340208,ENSG00000081189,MEF2C,0.812865592
hsa-miR-122-3p,ENST00000436636,ENSG00000154310,TNIK,0.794536449
hsa-miR-122-3p,ENST00000239231,ENSG00000120137,PANK3,0.788961302
hsa-miR-122-3p,ENST00000368309,ENSG00000160803,UBQLN4,0.788634603
hsa-miR-122-3p,ENST00000265354,ENSG00000112658,SRF,0.783163084
hsa-miR-122-3p,ENST00000553612,ENSG00000165417,GTF2A1,0.777734103
hsa-miR-122-3p,ENST00000276326,ENSG00000147364,FBXO25,0.776811755
hsa-miR-122-3p,ENST00000238961,ENSG00000119906,FAM178A,0.77545972
hsa-miR-122-3p,ENST00000458572,ENSG00000100353,EIF3D,0.764140853
hsa-miR-122-3p,ENST00000546386,ENSG00000165972,CCDC38,0.755603744
hsa-miR-122-3p,ENST00000368679,ENSG00000148848,ADAM12,0.749568372
hsa-miR-122-3p,ENST00000313737,ENSG00000177340,AC024940.1,0.748860255
hsa-miR-122-3p,ENST00000292408,ENSG00000160867,FGFR4,0.747278752
hsa-miR-122-3p,ENST00000311127,ENSG00000173706,HEG1,0.736844299
hsa-miR-122-3p,ENST00000482061,ENSG00000174928,C3orf33,0.734317862
hsa-miR-122-3p,ENST00000379380,ENSG00000186687,LYRM7,0.728395139
hsa-miR-122-3p,ENST00000412285,ENSG00000081377,CDC14B,0.723657341
hsa-miR-122-3p,ENST00000523629,ENSG00000079102,RUNX1T1,0.715042861
