"","ADM","CD40LG","GDF15","PGF","SELE","EGF","SRC","IL1RN","IL6","CSTB","KLK6","LGALS3","F2R","KLK11","TEK","F3","TNFRSF1A","PDGFB","IL27","OLR1","TNFRSF10B","IL6R","TNFRSF1B","MMP3","HSPB1","PRL","MPO","GH1","RETN","FAS","PAPPA","PTX3","REN","CHI3L1","IL1RL1","HAVCR1","XPNPEP2","SELPLG","MB","THBD","IL16","PLAUR","CTSD","AGER","MMP7","CXCL16","DKK1","SIRT2","GAL","AGRP","PLAT","HBEGF","ESM1","VEGFD","MMP12","SPON1","CTSL","FABP4","NPPB","LEP","MUC16","IKBKG","FST","PECAM1","NT-pro-BNP","RNASE3","CXCL8","VEGFA","BDNF","CCL7","GDNF","CDCP1","CD244","IL7","TNFRSF11B","TGFB1","PLAU","IL17C","CCL2","IL17A","CXCL11","AXIN1","TNFSF10","CXCL9","CST5","OSM","CXCL1","CCL4","CD6","KITLG","IL18","SLAMF1","TGFA","CCL13","CCL11","TNFSF14","FGF23","IL10RA","FGF5","MMP1","LIFR","FGF21","CCL19","IL15RA","IL10RB","IL18R1","CD274","NGF","CXCL5","TNFSF11","HGF","IL12B","MMP10","IL10","CCL23","CD5","CCL3","FLT3LG","CXCL6","CXCL10","EIF4EBP1","CCL28","DNER","S100A12","CD40","FGF19","CCL8","CASP8","CCL25","CX3CL1","TNFRSF9","NTF3","TNFSF12","CCL20","SULT1A1","STAMBP","ADA","LTA","CSF1","RNY4-3p","RNY4-5p","RNY5-5p"
"miR-16-5p",1.21121162689502e-05,0,0,0,0,0,0,0,0,4.15528313206139e-06,0,0,0,0,1.59337212648898e-07,0,3.36457805343953e-05,0,0,3.82178549653628e-08,3.34746308798547e-06,2.45018411034066e-10,0,3.57546346405703e-09,0,0,0,0,0,0,1.1126899618993e-07,0,0,0,2.5725036812417e-10,0,2.41822082871072e-09,3.55317107197389e-07,0,0,1.70098947135692e-07,0,0,1.17404014304464e-15,0,0,0.000399586898349062,0,0,0,0,0,0,1.14263082257537e-07,0,0,0,0,0,1.24792764134684e-08,0,0,0,0,0,0,0,8.22253104370224e-06,2.85188747222239e-05,5.21166354711079e-06,1.17381544770261e-05,1.26649890474504e-12,0,8.5630174104368e-06,0,0,1.60207324375949e-10,1.073272236482e-06,0,0,0,0,0,0,0,0,0,4.26328324236505e-07,2.99868753460236e-06,1.03723279443848e-15,0,1.24098705282962e-05,1.70429087482193e-07,1.88025572262785e-05,0,0,5.23462846724016e-18,6.39955234596988e-07,3.86371665682871e-08,0,4.5660833470703e-07,0,0,0,1.67224310570309e-07,1.81643858218277e-05,1.81165169694677e-06,0,0,0,7.74118291600743e-07,0,0,0,0,0,0,0,0,1.28678279889457e-06,0,0,1.7481014777364e-05,0,1.03798105109935e-07,0,2.18103452287881e-06,0,0,6.58800107073483e-07,8.70927564009382e-07,0,0,0,0,0,0,4.83967073262615e-08,1.77174648742746e-06,0,0,0
"miR-19b-3p",2.51761770017005e-07,0,0,0,0,0.0469095523653748,0.0328038497163794,0,0,1.59351707637068e-07,0,0,0,0,4.53588973035305e-07,6.20783354583031e-06,4.31135455935198e-05,0.0556968440877651,0,0,1.51296357225143e-07,0,2.68475443840864e-05,0,0,0,0,0,0,4.62756780659647e-07,1.63148249832547e-11,0,0,0,0,8.05513672741473e-07,0,5.68437371500554e-09,0,1.08122056746331e-06,0,0,0,0,8.26580476240894e-16,0,0.000296975145377932,0,0,0,0,0,0,0,0,0,0,0,0,2.42080663847789e-12,0,0,0,0,0,0,7.07516996679015e-08,0,0,0,1.28122353892569e-05,0,1.16141971125625e-09,0,0,0,2.43991257783582e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.67333425532771e-07,0,0,2.18023142770873e-05,0,0,0,0,0,4.55516606990914e-11,0,2.82104142736644e-05,0,0,0,0,1.78304678077331e-10,0,0,0,0,7.92478549420571e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000916257472694816,0,0,0,0,0,2.99609874420214e-06,0,0,0,0,0.000135931114547847,0,0,0
"miR-20b-5p",6.78033782083595e-06,0.0182482049049627,0,0,0,0,0,1.4360791799052e-06,0.000153851817525634,2.86097336532818e-06,0,0,1.51599962763066e-06,0,9.62871769770782e-08,8.82899763035381e-06,0,0.0503776068260559,0,5.57784855427773e-09,4.64039683181169e-06,2.17245374028114e-08,6.40335053467841e-05,2.76059107864706e-07,0,0,0,0,0,2.15422320104568e-07,7.64449049921012e-10,9.57813783663914e-10,0,4.35129044746091e-05,0,0,0,4.04701536035366e-07,0,2.58809480996706e-06,0,3.37088801355979e-06,0,0,0,0,0,0,0,0,5.05544863596155e-07,1.91587790211008e-10,0,0,0,3.11074842932578e-06,0,0,0,3.70643056134943e-13,0,0,0,0,0,0,7.70243329189954e-08,7.21146996087924e-05,0,0,5.79329120460123e-06,3.17399187434286e-07,0,0,0.000323204658556238,0,0,0,0,0,0,0,3.79032574744746e-06,6.58769223455166e-05,0,1.06410994319742e-05,0,0,8.71483833113015e-10,1.40905439565499e-07,0,0,0.000137993809698482,0,0,3.91310634703011e-07,0,2.62462835472791e-06,3.14775032012552e-18,0,6.35320400906302e-05,4.90113523151872e-07,0,0,8.64071483719167e-05,5.11605877262198e-08,8.18173757142302e-06,0,0.00945494096838294,1.02601935844553e-08,0,0,1.07475326832135e-05,2.38908393207407e-20,0,1.25686558682697e-05,0,0,3.36313960394067e-05,0,0,0,3.03749839417756e-09,0,0,0,1.40986337442437e-06,0.00034792680128341,0,0.000248705201486723,1.64208144476807e-05,0,1.77582490845551e-08,0,0.0007490372710852,0.018247771168986,0,0,0.000239479096353545,0,0,0
"miR-21-5p",0,0,0,0,9.86011017049229e-06,0,0,0,0,2.69698965800851e-06,0,0,1.02555623193942e-05,0,2.33654507130418e-11,2.12535633657093e-06,0,0.0401683264489939,0,6.61365110964995e-06,2.26356562539355e-08,2.00887150559902e-07,0,0,0,0,0,0,0,0,0,5.96671855698152e-11,0,0,0,0,0,0,0,7.67417548089867e-07,0,0,0,0,1.10057973560043e-08,0,0,0,0,0,4.58186429208582e-07,0,1.71332757895221e-06,0,0,1.11723009015354e-09,0,0,5.67107095981532e-09,0,0,0.0358195712838622,0,0,0,0,0,0,0,0,1.59963691649025e-06,3.71506537040517e-05,0,0,2.2677304662499e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07041029138786e-05,0,0,0,0,0,0,0,0,2.46155862230343e-06,0,1.40611546377757e-07,0,0,0,0,0,0,0,0.0134762856186571,0,8.83591843478044e-08,0,0,1.41123598155142e-06,0,0,0,0,0,5.39116819651568e-06,0,0,0,0,0,0,0,0.00555130390786184,0,0,0,2.55193719388449e-06,0,1.00904561917192e-06,0,0.0288409749806364,0,0,0,0,0,0
"miR-24-3p",8.8613449450967e-06,0.0437428243874545,9.67584959742922e-06,5.91354622777605e-05,0,0,0.114602992070823,0,0,0,0,2.08387898935383e-07,1.4523004054009e-05,0,1.03806805060055e-07,0,0.000175086776306879,0.0949625752105849,0,2.02407923257344e-09,1.09264665377138e-06,1.33241401200731e-13,4.28062649026474e-05,0,0,7.36998358384337e-09,1.30757533995237e-07,0,0,2.42121835454134e-07,8.926137095511e-09,0,0,1.63076574059095e-06,5.80739106701361e-10,8.6316182471271e-08,6.09902532895276e-07,3.03807916307354e-07,7.96409179404147e-05,5.40932947924892e-06,4.70949165059769e-07,0,6.32110960929513e-07,0,2.3977787870626e-06,7.14268526072304e-08,0.000182087756620852,0.0526969579191722,0,0,5.75350534834657e-13,1.45365595595584e-11,0,0,0,4.14705587902231e-06,0,1.15893282508451e-06,0,2.49528310208188e-15,1.59595567709615e-13,0.108155905060622,4.78785890224085e-06,6.39707673693004e-07,0,0,0,6.48485985093302e-05,1.29840863940724e-08,0,3.38310106422047e-12,0,4.07321855138811e-11,0.000621910748827441,0,0,5.82405432276273e-06,0,0,2.20576329653047e-08,0,0,0,4.37796413676217e-05,0,0,0,6.13546519267605e-10,0,2.72360050324208e-05,8.6377474056272e-09,0,0,0,0,0,3.68594332910943e-05,0,9.85435308571669e-12,0,8.12844994533237e-06,0,0,5.11220945256497e-09,8.79280917620621e-05,7.02133673040054e-13,0,0,0.0191200036497917,3.74742956711948e-08,0.000136212885732066,5.62535145655055e-06,1.56734919730338e-05,0,0,0,5.60539085846946e-06,6.4083358754122e-06,0,0,0,0,0,0,0,1.91569911873001e-05,0,0.00170970955596964,0,7.84725183870211e-05,0,0,0,0,0.00848932266260104,0.0404530243138866,5.9281572329103e-09,0,8.18094633843037e-05,0,0,0
"miR-26a-5p",8.55279409816671e-05,0,0,0,0,0,0,0,8.09029353834829e-05,0,0,4.62396893644965e-07,0,0,1.28750404588312e-07,0,0,0,0,0,4.30859001271773e-06,0,0,0,0,0,0,0,0,3.31389824832997e-08,5.68303508679857e-10,8.68185004666124e-11,0,0,0,0,0,0,0,0,0,9.49257503025653e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21155998697715e-05,0,0,0,0,0,0,0,5.38965603281881e-14,0,0,0,0.000294494370851682,4.41320866175988e-10,0,0,0,0,0,0,7.02017083791973e-07,2.19051192385097e-06,0,0,0,0,0,3.09902357032188e-06,0,0,9.03441445281819e-10,0,0,4.47180212657044e-08,1.03514134759033e-06,0,0.000202572510823117,0,0,0,0,0,0,3.51994842995018e-07,0,0.000256984506945843,1.96251364776185e-09,0,0,0,1.83383580086893e-10,0,0,0.0149254006776771,0,0.00021516537380216,0,0,0,0,0,0,0,0,0,0,0,5.85039055880518e-08,0,0,0,0,5.41184728161717e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"miR-27b-3p",0,0.000906363684029673,0,0,2.86029449435285e-07,0.000243865855443897,0,2.93088281990192e-08,0,0,0,4.32182316761701e-06,9.54111080271236e-10,0,0,1.50672570937897e-06,0,0,0,8.36716945364845e-08,0,6.70555244753717e-08,0,9.03919862001049e-07,0,0,0,0,0,1.2533148959328e-08,2.34596604379609e-09,0,0,0,0,0,0,0,0,0,8.27635312666636e-11,0,0,1.23638764116372e-09,0,1.06198038218325e-06,0,0,0,0,0,3.40651424129287e-11,0,4.76983619902023e-07,0,0,0,0,0,2.95775745851055e-06,0,0,0,0,0,0,0,0,1.64760447379836e-09,0,2.72414865493097e-06,3.11965690270351e-10,0,0.000308525368172923,0,0,9.28442622254652e-09,0,0,0,2.48769336964288e-06,0,3.90041587143189e-06,2.79449958491293e-07,0,0,0.000123244387817558,0,0,1.07057150271389e-10,0,5.69387250518209e-07,7.40975226333032e-07,0,0,0,0,0,2.17880472969476e-07,0,4.57370983654715e-13,0,0,0,0,3.11101786664283e-09,1.16869125551252e-07,0,0.00128664064521238,1.8461505189851e-07,2.82972690973165e-14,1.14999982918227e-09,0,1.61628762522376e-07,0,0,0,0,0,0,0,2.21089894364303e-07,3.05428528512293e-06,0,0,0,0,8.2117424641304e-06,0,4.68008140428729e-07,1.83554193465055e-07,0,0,0,0,0.00181613532472772,2.88152898790173e-07,0,7.43518859151023e-11,0,0,0
"miR-28-5p",3.23613465142876e-17,4.46688185640848e-11,9.47038580096861e-13,1.64966926985588e-08,1.84767952662655e-07,2.51291174137867e-08,0,8.80352895933029e-08,0,0,6.38357603291617e-06,0,0,9.59395609408564e-07,0,0,2.34454339493687e-05,1.63922493925204e-05,0,0,0,0,0,0,0,0,2.88547465423769e-07,0,0,2.09849579885237e-08,1.00248478856776e-06,0,4.21828046352002e-11,1.51106206064601e-06,6.13949864017419e-08,0,8.44176878724593e-07,0,0,0,2.01994379412423e-06,2.47779471600615e-07,0,0,0,0,0,0.000128808392701466,0,0,0,3.73756516610802e-05,1.04927943044208e-05,0,0,0,0,0,0,3.00715754495504e-06,5.64422989664408e-09,0,0,0,0,4.24872642617842e-10,0,0,1.96604344470968e-06,0,1.97668719908874e-07,3.62198948367896e-05,3.94855588919032e-06,0,0,0,0,0,0,0,0,0,5.15507158943785e-06,0.000291970826296477,0,0,0,0,7.88701892076639e-07,2.95558726131447e-07,0,0,0,0,0,8.03808307021756e-07,2.9543916634322e-06,0,0,0,6.95032763517849e-05,9.03637242427527e-08,4.54851815941129e-08,2.61228777380966e-06,0,0,1.45858869642689e-07,0,1.61542313639082e-05,0,5.48458994380066e-05,0,0,0,0,0,2.62344972358619e-08,0,0,0,0,6.54919766068447e-05,0.000159075558848493,6.03541186766347e-06,0,0,0,0,0,0,3.35041733815213e-05,0,0.000118004081166434,0,0,0.000212143684793578,0,0,0.000194626135764451,0,0,0
"miR-29a-3p",0,0,0,0,0,0,0.0177673868893132,0,0,0,1.21282657416929e-05,0,0,0,0,0,1.06864519994493e-05,0.0181759432116535,0,0,1.6973672267305e-07,0,0,0,0,0,0,0,0,7.09680340835317e-13,0,7.33899343396601e-07,0,0,9.68993171490211e-07,5.2628823685193e-10,0,0,0,0,1.3753801421326e-06,0,0,0,0,0,0,0,0,0,0,1.27097587280086e-07,0,0,0,0,0,0,0,1.82535554840804e-07,0,0.0449254607185039,0,3.3821300953798e-06,0,0,0,1.17765950638811e-05,7.80307892274987e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44527755404063e-06,0,0,0,4.2294950667095e-05,0,4.33502932498288e-06,0,0,0,0,0,0,0,0,1.23932809446745e-07,0,0,0,1.05447947729518e-05,1.21270521920855e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6310708082624e-08,7.90846180289015e-06,0,0,0,6.19154523711979e-05,0,0,0.00141970240575463,0,9.67467830817119e-05,1.84091356930705e-05,0,0,0,0,0.0125299320777274,2.05689585943322e-07,0,0,0,0,0
"miR-30b-5p",0,0,0,0,0,0,0,0,0,0,0,0,2.10132838784245e-07,1.34423812379146e-06,0,0,0,0,0,0,6.08017403620371e-06,7.18318448334581e-10,0,0,0,0,0,0,0,2.38815691393316e-06,0,0,0,2.82295987932771e-05,0,7.44716115314559e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60788254468834e-09,0,0,3.95401852410471e-05,0,0,0,0,0,5.03344197241689e-07,0,2.78812677821562e-07,0,0,0.000172687652023183,0,0,8.03032395513758e-09,0,0,4.03425267726816e-07,5.02062541244963e-10,0,0,4.4189475338028e-05,0,0,0,0,1.14939724999781e-09,1.41967127831399e-08,3.0681770103218e-06,0.000117407273766623,0,0,0,0,0,0,8.67620647062447e-09,0,0.000142296500387474,1.00814790328902e-07,2.38601206934181e-07,0,0,0,3.85512378988456e-05,0,0,0,2.608144199873e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94679439205177e-05,0,0,0,0,0,0,0,0,0,0,0
