Annotation Cluster 1	Enrichment Score: 5.495475361427453											
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	7	35	1.42E-10	"TNFRSF1A, CCL3, CCL23, CCL8, FABP4, CCL4, CCL7"	20	73	16792	80.50958904	3.07E-08	3.07E-08	1.80E-07
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	10	50	1.40E-09	"CXCL1, TNFRSF1A, CCL3, CCL23, TNFRSF10B, IL10RA, CCL8, CD40, CCL4, CCL7"	18	243	6879	15.72702332	7.30E-08	7.30E-08	1.36E-06
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	6	30	1.88E-09	"CXCL1, CCL3, CCL23, CCL8, CCL4, CCL7"	20	49	16881	103.3530612	9.23E-08	9.23E-08	1.81E-06
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	9	45	3.81E-09	"CXCL1, TNFRSF1A, CCL3, CCL23, TNFRSF10B, CCL8, CD40, CCL4, CCL7"	20	379	16792	19.93773087	8.22E-07	4.11E-07	4.83E-06
GOTERM_BP_DIRECT	GO:0006955~immune response	9	45	8.67E-09	"CXCL1, TNFRSF1A, CCL3, CCL23, TNFRSF10B, CD274, CCL8, CD40, CCL4"	20	421	16792	17.94869359	1.87E-06	6.24E-07	1.10E-05
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	6	30	1.30E-08	"CXCL1, CCL3, CCL23, CCL8, CCL4, CCL7"	20	71	16792	70.95211268	2.81E-06	7.02E-07	1.65E-05
GOTERM_MF_DIRECT	GO:0031726~CCR1 chemokine receptor binding	4	20	4.22E-08	"CCL3, CCL23, CCL4, CCL7"	20	7	16881	482.3142857	2.07E-06	1.03E-06	4.04E-05
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	6	30	1.19E-07	"CCL3, CCL23, CCL8, FABP4, CCL4, CCL7"	20	110	16792	45.79636364	2.57E-05	5.14E-06	1.51E-04
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	5	25	1.27E-07	"CCL3, CCL23, CCL8, CCL4, CCL7"	20	42	16792	99.95238095	2.75E-05	4.59E-06	1.62E-04
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	5	25	4.45E-07	"CCL3, CCL23, CCL8, CCL4, CCL7"	20	57	16792	73.64912281	9.61E-05	1.37E-05	5.65E-04
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	5	25	8.07E-07	"CCL3, CCL23, CCL8, CCL4, CCL7"	20	66	16792	63.60606061	1.74E-04	2.18E-05	0.001024149
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	5	25	1.08E-06	"CCL3, CCL23, CCL8, CCL4, CCL7"	20	71	16792	59.12676056	2.34E-04	2.60E-05	0.001375765
GOTERM_BP_DIRECT	GO:0006874~cellular calcium ion homeostasis	5	25	3.21E-06	"CCL3, CCL23, CCL8, CD40, CCL7"	20	93	16792	45.13978495	6.92E-04	6.93E-05	0.00406946
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	5	25	9.45E-06	"CXCL1, CCL3, CCL23, CCL8, CCL7"	20	122	16792	34.40983607	0.002038588	1.85E-04	0.011989908
GOTERM_BP_DIRECT	GO:0007165~signal transduction	9	45	1.94E-05	"CXCL1, TNFRSF1A, CD244, CCL23, TNFRSF10B, CD274, CCL8, CCL4, CCL7"	20	1161	16792	6.508527132	0.004171139	3.48E-04	0.024557154
GOTERM_BP_DIRECT	GO:2000503~positive regulation of natural killer cell chemotaxis	3	15	2.54E-05	"CCL3, CCL4, CCL7"	20	7	16792	359.8285714	0.005468514	4.22E-04	0.032215064
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	5	25	3.91E-05	"CCL3, CCL23, CCL8, CCL4, CCL7"	20	175	16792	23.98857143	0.00840873	5.63E-04	0.049604888
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	6	30	6.51E-05	"CXCL1, CCL3, CCL23, CCL8, CCL4, CCL7"	18	186	6879	12.32795699	0.00337734	0.001690098	0.063188848
REACTOME_PATHWAY	R-HSA-380108:R-HSA-380108	4	20	1.12E-04	"CXCL1, CCL3, CCL4, CCL7"	16	59	9075	38.45338983	0.00370126	0.00370126	0.098032036
