Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	14	70.0	3.3122284917486225E-11	PLAT, CXCL1, TNFRSF1A, CCL3, CCL23, RNASE3, F3, CSTB, CCL8, HGF, CD40, CCL4, CCL7, SPON1	20	1347	18224	9.470527097253154	1.0599130462196626E-9	1.0599130462196626E-9	2.8686619746309816E-8
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	7	35.0	1.4199679712223672E-10	TNFRSF1A, CCL3, CCL23, CCL8, FABP4, CCL4, CCL7	20	73	16792	80.5095890410959	3.067129705769389E-8	3.067129705769389E-8	1.8021940606516296E-7
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	10	50.0	1.4047021808675827E-9	CXCL1, TNFRSF1A, CCL3, CCL23, TNFRSF10B, IL10RA, CCL8, CD40, CCL4, CCL7	18	243	6879	15.727023319615913	7.304450821976616E-8	7.304450821976616E-8	1.3647591501353418E-6
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	6	30.0	1.883880082943236E-9	CXCL1, CCL3, CCL23, CCL8, CCL4, CCL7	20	49	16881	103.35306122448979	9.23101183269992E-8	9.23101183269992E-8	1.8062581097488817E-6
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	9	45.0	3.80569905940626E-9	CXCL1, TNFRSF1A, CCL3, CCL23, TNFRSF10B, CCL8, CD40, CCL4, CCL7	20	379	16792	19.937730870712404	8.22030666980389E-7	4.110154179226555E-7	4.830116484555447E-6
GOTERM_BP_DIRECT	GO:0006955~immune response	9	45.0	8.669508885921153E-9	CXCL1, TNFRSF1A, CCL3, CCL23, TNFRSF10B, CD274, CCL8, CD40, CCL4	20	421	16792	17.948693586698337	1.8726121746581725E-6	6.242044479076725E-7	1.1003165423240091E-5
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	6	30.0	1.300448256352238E-8	CXCL1, CCL3, CCL23, CCL8, CCL4, CCL7	20	71	16792	70.95211267605634	2.8089643151485433E-6	7.02241818473226E-7	1.650502601258097E-5
GOTERM_MF_DIRECT	GO:0031726~CCR1 chemokine receptor binding	4	20.0	4.2188122634615295E-8	CCL3, CCL23, CCL4, CCL7	20	7	16881	482.31428571428575	2.067215917334053E-6	1.0336084927953237E-6	4.0449828764277385E-5
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	6	30.0	1.1896796036159835E-7	CCL3, CCL23, CCL8, FABP4, CCL4, CCL7	20	110	16792	45.79636363636364	2.5696750801773582E-5	5.13940298696447E-6	1.5099163296339313E-4
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	5	25.0	1.2749174131074444E-7	CCL3, CCL23, CCL8, CCL4, CCL7	20	42	16792	99.95238095238095	2.7537838697688777E-5	4.58969244576668E-6	1.6180982832514346E-4
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	5	25.0	4.45124366426905E-7	CCL3, CCL23, CCL8, CCL4, CCL7	20	57	16792	73.64912280701755	9.614226259413439E-5	1.373517489411391E-5	5.64941406122621E-4
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	5	25.0	8.069411011346534E-7	CCL3, CCL23, CCL8, CCL4, CCL7	20	66	16792	63.6060606060606	1.7428415892661864E-4	2.1787181177845838E-5	0.0010241485536188755
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	5	25.0	1.0839861895452433E-6	CCL3, CCL23, CCL8, CCL4, CCL7	20	71	16792	59.12676056338029	2.341137349554101E-4	2.601534424551133E-5	0.0013757647102430326
GOTERM_BP_DIRECT	GO:0006874~cellular calcium ion homeostasis	5	25.0	3.2064297656595814E-6	CCL3, CCL23, CCL8, CD40, CCL7	20	93	16792	45.13978494623656	6.92350154710919E-4	6.92565956275093E-5	0.004069459765143613
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	5	25.0	9.447494732820782E-6	CXCL1, CCL3, CCL23, CCL8, CCL7	20	122	16792	34.40983606557377	0.0020385877535615826	1.8549811145340822E-4	0.011989907731446703
GOTERM_CC_DIRECT	GO:0005576~extracellular region	10	50.0	1.3057593334935494E-5	PLAT, CXCL1, TNFRSF1A, CCL3, CCL23, RNASE3, HGF, CCL4, CCL7, MMP1	20	1610	18224	5.6596273291925465	4.1775842939006935E-4	2.0890103451620678E-4	0.011308382434249697
GOTERM_BP_DIRECT	GO:0007165~signal transduction	9	45.0	1.9351026042821797E-5	CXCL1, TNFRSF1A, CD244, CCL23, TNFRSF10B, CD274, CCL8, CCL4, CCL7	20	1161	16792	6.508527131782945	0.0041711386027540875	3.482611819645154E-4	0.024557154179261076
GOTERM_BP_DIRECT	GO:2000503~positive regulation of natural killer cell chemotaxis	3	15.0	2.5386351019675837E-5	CCL3, CCL4, CCL7	20	7	16792	359.8285714285714	0.005468514363283772	4.2172039124288574E-4	0.03221506396398066
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	5	25.0	3.0320605087074715E-5	CXCL1, TNFRSF1A, TNFRSF10B, IL10RA, CD40	20	164	16792	25.597560975609756	0.006527949741529815	4.6770130716122793E-4	0.038475480686028796
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	5	25.0	3.909313976992357E-5	CCL3, CCL23, CCL8, CCL4, CCL7	20	175	16792	23.98857142857143	0.008408730431426092	5.627937886746315E-4	0.04960488778396055
GOTERM_BP_DIRECT	GO:0030335~positive regulation of cell migration	5	25.0	4.755030459741793E-5	CCL3, F3, CD274, HGF, CCL7	20	184	16792	22.815217391304348	0.010218542272175224	6.417383723050785E-4	0.06033311552953169
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	4	20.0	5.131869958448449E-5	CXCL1, CCL3, CCL8, HGF	20	65	16792	51.66769230769231	0.011023909963207124	6.518535422694871E-4	0.06511312290304883
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	6	30.0	6.505666303098397E-5	CXCL1, CCL3, CCL23, CCL8, CCL4, CCL7	18	186	6879	12.327956989247312	0.0033773404360348813	0.001690098434376397	0.0631888476751441
