Regulator	Target	MI	pvalue
CCL4L1	IL7	0.25684523805308296	8.024779115700653E-5
IL2RB	IL2	0.12760137359651602	0.0283586604778856
TEK	PGF	0.242500716538914	0.0
ESM1	TNFRSF1B	0.2225271128443311	8.024779115700653E-5
PGF	HGF	0.3789843936877292	0.0
CXCL8	CCL2	0.24119559515468034	0.0
CXCL8	CCL3	0.2513491217662254	8.024779115700653E-5
CD5	CCL25	0.283147320035991	6.052689173845494E-4
CD40LG	CD274	0.9168703550984999	0.0
LPA	APOC2	0.29944397442914233	1.0023796854330413E-5
CCL11	BDNF	0.14220219111615134	1.0023796854330413E-5
CD5	CCL19	0.32024282952022604	1.432542973134332E-11
ORM1	ORM2	0.3976324773776145	0.0
CLU	C4BPA	0.5035528531833179	1.4096222855641827E-8
ITIH4	FGG	0.49630747343586445	0.0
CFI	C1QB	0.45080514419166884	1.3609158244776154E-10
FGF21	KITLG	0.14617295330346966	1.432542973134332E-11
CFH	FGG	0.4536580692770274	1.1835311908292567E-6
LPA	APOA2	0.3143174913842467	0.004285196681163228
CFH	FGA	0.46692307791163373	0.0
CCL19	IL10	0.27788437024060164	8.024779115700653E-5
PECAM1	PLAT	0.21438445312071663	0.0283586604778856
AHSG	HRG	0.3164852444783174	0.0
IGHA2	LPA	0.30924638655393377	1.0023796854330413E-5
PDGFB	FGF5	0.17070974490006138	0.0
TGFA	DNER	0.3068694758352863	8.024779115700653E-5
TNFRSF1A	IL18R1	0.2327730063722637	6.052689173845494E-4
SLAMF1	CXCL11	0.2746924186486834	0.0
SLAMF1	CXCL10	0.2551188432188902	1.3248157415546302E-7
TNFRSF1A	TNFRSF9	0.2750126477317198	1.432542973134332E-9
JCHAIN	CPN2	0.31097703489061823	1.0023796854330413E-5
LPA	HRG	0.3034819844471516	0.004285196681163228
HRG	APOD	0.30448722032343367	1.0023796854330413E-5
APOH	RBP4	0.3639034557375799	0.0
TNFRSF1B	RETN	0.3218833748435869	0.0
LTA	LIFR	0.2817814490941317	1.4096222855641827E-8
C1S	C6	0.454586338601223	1.1835311908292567E-6
CCL4L1	IL10	0.29618848328862896	0.0
IL24	PDGFB	0.12131120569795528	0.0283586604778856
OLR1	HGF	0.3081057657504688	0.0
GSN	AGER	0.13861874848370767	8.024779115700653E-5
TGFA	TNFRSF10B	0.22492598220562476	0.004285196681163228
HBEGF	F2R	0.5922390474430097	0.0
KNG1	KLKB1	0.43532222527759906	0.0
HGF	CCL20	0.24148454659630153	0.0
CTSD	SELE	0.22472040027926332	0.0
ABCF1	IGHM	0.30916323115188094	0.0
FBLN1	HBA1	0.29850624744042364	0.0
TIMELESS	TNFRSF11B	0.31372935228879806	1.3609158244776154E-10
ABCF1	APOA2	0.30956488012751043	8.024779115700653E-5
ABCF1	APOA4	0.3029826014300141	0.0283586604778856
FBLN1	HBE1	0.31142906309293245	0.0283586604778856
GAL	APOD	0.14964723738484692	1.3609158244776154E-10
APOA1	ALB	0.37887065583823804	0.0
SELE	IL1RL1	0.16829066112021165	0.0
IL20RA	IL2	0.14413883160554833	0.0
SERPINA1	CP	0.42024992738544	0.0
SERPINC1	APOH	0.42657218401688796	8.024779115700653E-5
SERPINA1	C2	0.40730663401399475	6.052689173845494E-4
OSM	IL10	0.30308492824835004	0.0
THRB	SERPIND1	0.48136145277784415	1.3248157415546302E-7
PDGFB	IL20RA	0.14890492268346384	0.0
C6	LRG1	0.42883822770002356	0.0283586604778856
GSN	CLEC3B	0.41949985441776044	0.0
FLT3LG	PLAUR	0.2927701863568899	0.0
