mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-122-3p,XM_017013400,KCNQ3,9804,9825,0.953846153846,-19.6,1,0.05858384,0.5,0.0,0.0,-3.79332483736,16,21,9,5UTR,,0,0
hsa-miR-122-3p,NM_012477,WBP1,45,93,0.961538461538,-18.0,0,9.642543e-05,0.309,0.868243863636,1.19280248558,-7.24998975393,13,16,11,5UTR,,0,0
hsa-miR-122-3p,NM_032431,SYVN1,75,122,0.974358974359,-21.4,1,9.517345e-06,0.294,2.11616958333,2.315972295,-5.92549935993,12,14,12,5UTR,,0,0
hsa-miR-122-3p,NM_172230,SYVN1,75,122,0.974358974359,-21.4,1,9.517345e-06,0.294,2.11616958333,2.315972295,-5.92549935993,12,14,12,5UTR,,0,0
hsa-miR-122-3p,NM_016403,CWC15,32,74,0.974358974359,-21.7,1,2.307358e-05,0.426,-0.183332471538,0.0991588055962,-4.52877439761,15,18,13,5UTR,,0,0
hsa-miR-122-3p,NM_001271856,GRASP,157,172,1.0,-17.7,1,4.273188e-05,0.426,4.97487428571,3.34078512637,-6.1995071877,13,15,7,5UTR,,0,0
hsa-miR-122-3p,NM_014182,ORMDL2,39,56,1.0,-18.8,0,9.844889e-08,0.338,0.7033777,0.778160650043,-6.50068725424,14,17,10,5UTR,,0,0
hsa-miR-122-3p,NM_001178081,STAT6,145,172,1.0,-18.3,1,0.01016838,0.485,-0.0312866833333,-0.05498156,-5.92549935993,12,14,12,5UTR,,0,0
hsa-miR-122-3p,NM_001178080,STAT6,145,172,1.0,-18.3,1,0.01016838,0.485,-0.0312866833333,-0.05498156,-5.92549935993,12,14,12,5UTR,,0,0
hsa-miR-122-3p,NM_003153,STAT6,145,172,1.0,-18.3,1,0.01016838,0.485,-0.0312866833333,-0.05498156,-5.92549935993,12,14,12,5UTR,,0,0
hsa-miR-122-3p,NM_001178078,STAT6,145,172,1.0,-18.3,1,0.01016838,0.485,-0.0312866833333,-0.05498156,-5.92549935993,12,14,12,5UTR,,0,0
hsa-miR-122-3p,XM_011539085,CFAP54,49,78,1.0,-19.0,0,3.834487e-06,0.647,0.0,0.0,-6.74758927398,12,14,12,5UTR,,0,0
hsa-miR-122-3p,NM_032148,SLC41A2,246,283,1.0,-21.9,1,0.05962655,0.5,0.225531211765,-0.20393678,-4.95700071937,16,19,11,5UTR,,0,0
hsa-miR-122-3p,NM_001079673,FNDC3A,300,311,1.0,-15.1,0,0.00525851,0.647,3.7020878,2.40609080125,-8.33987875175,10,11,10,5UTR,,0,0
hsa-miR-122-3p,NM_001278438,FNDC3A,343,354,1.0,-15.1,0,0.006047953,0.647,3.7020878,2.4478541375,-8.33987875175,10,11,10,5UTR,,0,0
hsa-miR-122-3p,NM_001286702,ARMC1,169,189,1.0,-19.6,1,2.733271e-05,0.412,1.54621866842,2.0610825625,-3.79332483736,16,20,9,5UTR,,0,0
hsa-miR-122-3p,NM_018120,ARMC1,169,189,1.0,-19.6,1,2.733271e-05,0.412,1.54621866842,2.0610825625,-3.79332483736,16,20,9,5UTR,,0,0
